,group,sender,text,date
1,freifahren_BE,608908956,u9 zoo richtung osloer str,2023-09-05 13:08:01+00:00
1,freifahren_BE,575414487,U6 3 Blauwesten u Naturkundemuseum auf dem Bahnsteig,2023-09-05 13:14:22+00:00
1,freifahren_BE,1046364668,Zahlen ja auch gut,2023-09-05 13:18:53+00:00
1,freifahren_BE,742607554,"2 Frauen, 1 Mann in Bellevue",2023-09-05 13:28:56+00:00
1,freifahren_BE,932411923,,2023-09-05 13:29:28+00:00
1,freifahren_BE,830578254,M5 Mann mit dem Bart Richtung Hohenschönhausen,2023-09-05 13:29:31+00:00
1,freifahren_BE,1088028370,S 41/42 zwischen Hermannstraße und Tempelhof ein Typ,2023-09-05 13:36:37+00:00
1,freifahren_BE,890877856,"M10, right now at Gedenkstätte Berliner Mauer, towards Warschauer 
Two guys, undercover",2023-09-05 13:45:00+00:00
1,freifahren_BE,838883572,U6 Seestraße 2 blauwesten Richtung k. Schumacher Platz Ersten Wagen,2023-09-05 13:49:20+00:00
1,freifahren_BE,137998982,"U6 Richtung Kurt Schumacher jetzt Seestraße zugestiegen, 3 Männer in Blauwesten",2023-09-05 13:49:50+00:00
1,freifahren_BE,5144101732,"U9 Osloer Straße. Hanssplatz 
3 Mann.
BOS",2023-09-05 13:54:53+00:00
1,freifahren_BE,183603059,U6Leopold platz -> kurt....platz. 3x blauwesten ausgestiegen.,2023-09-05 14:23:03+00:00
1,freifahren_BE,5991527269,U8 kotti,2023-09-05 14:32:03+00:00
1,freifahren_BE,5716448906,"M2 , one station before Alexanderplatz",2023-09-05 14:54:01+00:00
1,freifahren_BE,6013477341,S42 bei sonnenalle ( ostkreuz) Direktion!,2023-09-05 14:54:54+00:00
1,freifahren_BE,6013477341,Andere Richtung gefahren..,2023-09-05 14:59:08+00:00
1,freifahren_BE,908633765,I don’t understand,2023-09-05 15:20:30+00:00
