station name,lines,area,latitude,longitude
Eichborndamm,S25,Reinickendorf,52.5775,13.316944444444443
Eichwalde,"S46, S8",Eichwalde,52.37138888888889,13.615277777777777
Eisenacher Straße,U7,Schöneberg,52.489444444444445,13.350277777777777
Elsterwerdaer Platz,U5,Biesdorf,52.505,13.560555555555556
Erkner,S3,Erkner,52.42972222222222,13.751388888888888
Ernst-Reuter-Platz,U2,Charlottenburg,52.511944444444445,13.322222222222223
Fehrbelliner Platz,"U3, U7",Wilmersdorf,52.49027777777778,13.314166666666667
Feuerbachstraße,S1,Steglitz,52.46361111111111,13.3325
Flughafen BER – Terminal 1-2,"S45, S9",Schönefeld,52.36666666666667,13.503333333333334
Flughafen BER – Terminal 5,"S45, S9",Schönefeld,52.39138888888889,13.512777777777778
Frankfurter Allee,"U5, S41, S42, S8, S85",Friedrichshain,52.515,13.474444444444444
Frankfurter Tor,U5,Friedrichshain,52.51583333333333,13.454166666666666
Franz-Neumann-Platz,U8,Reinickendorf,52.56388888888888,13.364166666666666
Französische Straße,U6,Mitte,52.514722222222225,13.389166666666666
Fredersdorf,S5,Fredersdorf-Vogelsdorf,52.52638888888889,13.7625
Freie Universität,U3,Dahlem,52.45111111111111,13.281944444444445
Friedenau,S1,Schöneberg,52.47,13.340555555555556
Friedrich-Wilhelm-Platz,U9,Friedenau,52.471944444444446,13.32861111111111
Friedrichsfelde,U5,Friedrichsfelde,52.50611111111111,13.512777777777778
Friedrichsfelde Ost,"S5, S7, S75",Berlin-Marzahn,52.51416666666667,13.519722222222223
Friedrichshagen,S3,Friedrichshagen,52.4575,13.623333333333333
Friedrichstraße,"U6, S1, S2, S25, S26, S3, S5, S7, S9",Mitte,52.52027777777778,13.386944444444444
Frohnau,S1,Frohnau,52.6325,13.290277777777778
Gehrenseestraße,S75,Neu-Hohenschönhausen,52.556666666666665,13.524444444444445
Gesundbrunnen,"U8, S1, S2, S25, S26, S41, S42",Gesundbrunnen,52.54861111111111,13.38125
Gleisdreieck,"U1, U2",Kreuzberg,52.498333333333335,13.375277777777779
Gneisenaustraße,U7,Kreuzberg,52.49138888888889,13.39611111111111
Greifswalder Straße,"S41, S42, S8, S85",PrenzlauerBerg,52.54,13.440555555555555
Grenzallee,U7,Britz,52.46333333333334,13.443888888888889
Griebnitzsee,S7,Babelsberg,52.394444444444446,13.127222222222223
Grunewald,S7,Grunewald,52.48916666666667,13.261388888888888
Grünau,"S46, S8, S85",Grünau,52.4125,13.573888888888888
Grünbergallee,"S45, S9",Altglienicke,52.399166666666666,13.541666666666666
Görlitzer Bahnhof,U1,Kreuzberg,52.49916666666667,13.428055555555554
Güntzelstraße,U9,Wilmersdorf,52.49194444444444,13.330833333333333
Hackescher Markt,"S3, S5, S7, S9",Mitte,52.5225,13.402222222222223
Halemweg,U7,Charlottenburg-Nord,52.53666666666666,13.286388888888888
Halensee,"S41, S42, S46",Halensee,52.49611111111111,13.290555555555555
Hallesches Tor,"U1, U6",Kreuzberg,52.49777777777778,13.39111111111111
Hansaplatz,U9,Hansaviertel,52.51777777777777,13.342222222222222
Haselhorst,U7,Haselhorst,52.538888888888884,13.232777777777779
Hauptbahnhof,"U5, S3, S5, S7, S9",Moabit,52.525,13.369444444444445
Hausvogteiplatz,U2,Mitte,52.51305555555555,13.396666666666667
Heerstraße,"S3, S9",Westend,52.50861111111111,13.258611111111112
Hegermühle,S5,Strausberg,52.54888888888889,13.866666666666667
Heidelberger Platz,"U3, S41, S42, S46",Wilmersdorf,52.480000000000004,13.311944444444444
Heiligensee,S25,Heiligensee,52.624722222222225,13.229166666666666
Heinrich-Heine-Straße,U8,Mitte,52.51027777777778,13.415833333333333
Hellersdorf,U5,Hellersdorf,52.53666666666666,13.606388888888889
Hennigsdorf,S25,Hennigsdorf,52.63805555555555,13.205833333333333
Hermannplatz,"U7, U8",Neukölln,52.48722222222222,13.424722222222222
Hermannstraße,"U8, S41, S42, S45, S46, S47",Neukölln,52.4675,13.431249999999999
Hermsdorf,S1,Hermsdorf,52.617777777777775,13.306944444444445
Hirschgarten,S3,Friedrichshagen,52.45777777777778,13.603333333333333
Hohen Neuendorf,"S1, S8",HohenNeuendorf,52.66833333333333,13.286944444444444
Hohenschönhausen,S75,Neu-Hohenschönhausen,52.56638888888889,13.512222222222222
Hohenzollerndamm,"S41, S42, S46",Halensee,52.48861111111111,13.300277777777778
Hohenzollernplatz,U3,Wilmersdorf,52.494166666666665,13.324722222222222
Holzhauser Straße,U6,Tegel,52.575833333333335,13.296111111111111
Hoppegarten,S5,Dahlwitz-Hoppegarten,52.51833333333333,13.673333333333332
