,station name,lines,area,LAT,LON,Location,color,keys
22,Bernau-Friedenstal,S2,BernaubeiBerlin,52.6686111111111,13.5647222222222,S2,#00CC00,bernau friedenstal
23,Bernauer Straße,U8,Mitte,52.5375,13.3966666666667,U8,#00008B,bernauer str
24,Betriebsbahnhof Rummelsburg,S3,Rummelsburg,52.4938888888889,13.4977777777778,S3,#0000ff,betriebsbahnhof rummelsburg
25,Beusselstraße,"S41, S42",Moabit,52.5344444444444,13.3294444444444,S Bahn Hub,#008080,beusselstr
26,Biesdorf,S5,Biesdorf,52.5130555555556,13.5552777777778,S5,#FFD700,biesdorf
27,Biesdorf-Süd,U5,Biesdorf,52.4997222222222,13.5463888888889,U5,#FFD700,biesdorf sued
28,Birkenstein,S5,Dahlwitz-Hoppegarten,52.5158333333333,13.6475,S5,#FFD700,birkenstein
29,Birkenstraße,U9,Moabit,52.5322222222222,13.3413888888889,U9,#FF5733,birkenstr
30,Birkenwerder,"S1, S8",Birkenwerder,52.6886111111111,13.2888888888889,S Bahn Hub,#008080,birkenwerder
31,Bismarckstraße,"U2, U7",Charlottenburg,52.5113888888889,13.3047222222222,U Bahn Hub,#006400,bismarckstr
32,Blankenburg,"S2, S8",Blankenburg,52.5913888888889,13.4436111111111,S Bahn Hub,#008080,blankenburg
33,Blankenfelde,S2,Blankenfelde-Mahlow,52.3369444444445,13.4161111111111,S2,#00CC00,blankenfelde
34,Blaschkoallee,U7,Britz,52.4516666666667,13.4497222222222,U7,#33B5FF,blaschkoallee
35,Blissestraße,U7,Wilmersdorf,52.4866666666667,13.3219444444444,U7,#33B5FF,blissestr
36,Boddinstraße,U8,Neukölln,52.4794444444445,13.4255555555556,U8,#00008B,boddinstr
37,Borgsdorf,S1,Borgsdorf,52.7155555555556,13.2763888888889,S1,#FF33AD,borgsdorf
38,Bornholmer Straße,"S1, S2, S25, S26, S8, S85",PrenzlauerBerg,52.5544444444444,13.3980555555556,S Bahn Hub,#008080,bornholmer str
39,Borsigwerke,U6,Tegel,52.5819444444444,13.2908333333333,U6,#DA33FF,borsigwerke
40,Botanischer Garten,S1,Lichterfelde,52.4480555555556,13.3072222222222,S1,#FF33AD,botanischer garten
41,Brandenburger Tor,"U5, S1, S2, S25, S26",Mitte,52.5163888888889,13.3808333333333,U and S Bahn Hub,#FFC300,brandenburger tor
42,Breitenbachplatz,U3,Dahlem,52.4669444444445,13.3086111111111,U3,#33FF33,breitenbachplatz
43,Britz-Süd,U7,Britz,52.4377777777778,13.4483333333333,U7,#33B5FF,britz sued
44,Buch,S2,Buch,52.6358333333333,13.4916666666667,S2,#00CC00,buch
45,Buckower Chaussee,S2,Marienfelde,52.4102777777778,13.3827777777778,S2,#00CC00,buckower chaussee
46,Bundesplatz,"U9, S41, S42, S46",Wilmersdorf,52.4781944444444,13.3283333333333,U and S Bahn Hub,#FFC300,bundesplatz
47,Bundestag,U5,Tiergarten,52.52,13.3730555555556,U5,#FFD700,bundestag
48,Bülowstraße,U2,Schöneberg,52.4975,13.3633333333333,U2,#8B4513,buelowstr
49,Charlottenburg,"S3, S5, S7, S9",Charlottenburg,52.5047222222222,13.3033333333333,S Bahn Hub,#008080,charlottenburg
50,Cottbusser Platz,U5,Hellersdorf,52.5338888888889,13.5963888888889,U5,#FFD700,cottbusser platz
51,Dahlem-Dorf,U3,Dahlem,52.4575,13.2897222222222,U3,#33FF33,dahlem dorf
52,Deutsche Oper,U2,Charlottenburg,52.5119444444444,13.3105555555556,U2,#8B4513,deutsche oper
53,Eberswalder Straße,U2,Prenzlauer Berg,52.5416666666667,13.4122222222222,U2,#8B4513,eberswalder str
54,Eichborndamm,S25,Reinickendorf,52.5775,13.3169444444444,S25,#00FF00,eichborndamm
55,Eichwalde,"S46, S8",Eichwalde,52.3713888888889,13.6152777777778,S Bahn Hub,#008080,eichwalde
56,Eisenacher Straße,U7,Schöneberg,52.4894444444444,13.3502777777778,U7,#33B5FF,eisenacher str
57,Elsterwerdaer Platz,U5,Biesdorf,52.505,13.5605555555556,U5,#FFD700,elsterwerdaer platz
58,Erkner,S3,Erkner,52.4297222222222,13.7513888888889,S3,#0000ff,erkner
59,Ernst-Reuter-Platz,U2,Charlottenburg,52.5119444444444,13.3222222222222,U2,#8B4513,ernst reuter platz
60,Fehrbelliner Platz,"U3, U7",Wilmersdorf,52.4902777777778,13.3141666666667,U Bahn Hub,#006400,fehrbelliner platz
61,Feuerbachstraße,S1,Steglitz,52.4636111111111,13.3325,S1,#FF33AD,feuerbachstr
62,Flughafen BER – Terminal 1-2,"S45, S9",Schönefeld,52.3666666666667,13.5033333333333,S Bahn Hub,#008080,flughafen terminal 1 2
63,Flughafen BER – Terminal 5,"S45, S9",Schönefeld,52.3913888888889,13.5127777777778,S Bahn Hub,#008080,flughafen terminal 5
64,Frankfurter Allee,"U5, S41, S42, S8, S85",Friedrichshain,52.515,13.4744444444444,U and S Bahn Hub,#FFC300,frankfurter allee
65,Frankfurter Tor,U5,Friedrichshain,52.5158333333333,13.4541666666667,U5,#FFD700,frankfurter tor
66,Franz-Neumann-Platz,U8,Reinickendorf,52.5638888888889,13.3641666666667,U8,#00008B,franz neumann platz
67,Französische Straße,U6,Mitte,52.5147222222222,13.3891666666667,U6,#DA33FF,franzoesische str
68,Fredersdorf,S5,Fredersdorf-Vogelsdorf,52.5263888888889,13.7625,S5,#FFD700,fredersdorf
69,Freie Universität,U3,Dahlem,52.4511111111111,13.2819444444444,U3,#33FF33,freie universitaet
70,Friedenau,S1,Schöneberg,52.47,13.3405555555556,S1,#FF33AD,friedenau
71,Friedrich-Wilhelm-Platz,U9,Friedenau,52.4719444444444,13.3286111111111,U9,#FF5733,friedrich wilhelm platz
72,Friedrichsfelde,U5,Friedrichsfelde,52.5061111111111,13.5127777777778,U5,#FFD700,friedrichsfelde
73,Friedrichsfelde Ost,"S5, S7, S75",Berlin-Marzahn,52.5141666666667,13.5197222222222,S Bahn Hub,#008080,friedrichsfelde ost
74,Friedrichshagen,S3,Friedrichshagen,52.4575,13.6233333333333,S3,#0000ff,friedrichshagen
75,Friedrichstraße,"U6, S1, S2, S25, S26, S3, S5, S7, S9",Mitte,52.5202777777778,13.3869444444444,U and S Bahn Hub,#FFC300,friedrichstr
76,Frohnau,S1,Frohnau,52.6325,13.2902777777778,S1,#FF33AD,frohnau
77,Gehrenseestraße,S75,Neu-Hohenschönhausen,52.5566666666667,13.5244444444444,S75,#FF00FF,gehrenseestr
78,Gesundbrunnen,"U8, S1, S2, S25, S26, S41, S42",Gesundbrunnen,52.5486111111111,13.38125,U and S Bahn Hub,#FFC300,gesundbrunnen
79,Gleisdreieck,"U1, U2",Kreuzberg,52.4983333333333,13.3752777777778,U Bahn Hub,#006400,gleisdreieck
80,Gneisenaustraße,U7,Kreuzberg,52.4913888888889,13.3961111111111,U7,#33B5FF,gneisenaustr
81,Greifswalder Straße,"S41, S42, S8, S85",PrenzlauerBerg,52.54,13.4405555555556,S Bahn Hub,#008080,greifswalder str
82,Grenzallee,U7,Britz,52.4633333333333,13.4438888888889,U7,#33B5FF,grenzallee
83,Griebnitzsee,S7,Babelsberg,52.3944444444444,13.1272222222222,S7,#800080,griebnitzsee
84,Grunewald,S7,Grunewald,52.4891666666667,13.2613888888889,S7,#800080,grunewald
85,Grünau,"S46, S8, S85",Grünau,52.4125,13.5738888888889,S Bahn Hub,#008080,gruenau
86,Grünbergallee,"S45, S9",Altglienicke,52.3991666666667,13.5416666666667,S Bahn Hub,#008080,gruenbergallee
87,Görlitzer Bahnhof,U1,Kreuzberg,52.4991666666667,13.4280555555556,U1,#FFFF00,goerli
88,Güntzelstraße,U9,Wilmersdorf,52.4919444444444,13.3308333333333,U9,#FF5733,guentzelstr
89,Hackescher Markt,"S3, S5, S7, S9",Mitte,52.5225,13.4022222222222,S Bahn Hub,#008080,hackescher markt
90,Halemweg,U7,Charlottenburg-Nord,52.5366666666667,13.2863888888889,U7,#33B5FF,halemweg
91,Halensee,"S41, S42, S46",Halensee,52.4961111111111,13.2905555555556,S Bahn Hub,#008080,halensee
92,Hallesches Tor,"U1, U6",Kreuzberg,52.4977777777778,13.3911111111111,U Bahn Hub,#006400,hallesches tor
93,Hansaplatz,U9,Hansaviertel,52.5177777777778,13.3422222222222,U9,#FF5733,hansaplatz
94,Haselhorst,U7,Haselhorst,52.5388888888889,13.2327777777778,U7,#33B5FF,haselhorst
95,Hauptbahnhof,"U5, S3, S5, S7, S9",Moabit,52.525,13.3694444444444,U and S Bahn Hub,#FFC300,hauptbahnhof
96,Hausvogteiplatz,U2,Mitte,52.5130555555556,13.3966666666667,U2,#8B4513,hausvogteiplatz
97,Heerstraße,"S3, S9",Westend,52.5086111111111,13.2586111111111,S Bahn Hub,#008080,heerstr
98,Hegermühle,S5,Strausberg,52.5488888888889,13.8666666666667,S5,#FFD700,hegermuehle
99,Heidelberger Platz,"U3, S41, S42, S46",Wilmersdorf,52.48,13.3119444444444,U and S Bahn Hub,#FFC300,heidelberger platz
100,Heiligensee,S25,Heiligensee,52.6247222222222,13.2291666666667,S25,#00FF00,heiligensee
101,Heinrich-Heine-Straße,U8,Mitte,52.5102777777778,13.4158333333333,U8,#00008B,heinrich heine str
102,Hellersdorf,U5,Hellersdorf,52.5366666666667,13.6063888888889,U5,#FFD700,hellersdorf
103,Hennigsdorf,S25,Hennigsdorf,52.6380555555556,13.2058333333333,S25,#00FF00,hennigsdorf
104,Hermannplatz,"U7, U8",Neukölln,52.4872222222222,13.4247222222222,U Bahn Hub,#006400,hermannplatz
105,Hermannstraße,"U8, S41, S42, S45, S46, S47",Neukölln,52.4675,13.43125,U and S Bahn Hub,#FFC300,hermannstr
106,Hermsdorf,S1,Hermsdorf,52.6177777777778,13.3069444444444,S1,#FF33AD,hermsdorf
107,Hirschgarten,S3,Friedrichshagen,52.4577777777778,13.6033333333333,S3,#0000ff,hirschgarten
108,Hohen Neuendorf,"S1, S8",HohenNeuendorf,52.6683333333333,13.2869444444444,S Bahn Hub,#008080,hohen neuendorf
109,Hohenschönhausen,S75,Neu-Hohenschönhausen,52.5663888888889,13.5122222222222,S75,#FF00FF,hohenschoenhausen
110,Hohenzollerndamm,"S41, S42, S46",Halensee,52.4886111111111,13.3002777777778,S Bahn Hub,#008080,hohenzollerndamm
111,Hohenzollernplatz,U3,Wilmersdorf,52.4941666666667,13.3247222222222,U3,#33FF33,hohenzollernplatz
112,Holzhauser Straße,U6,Tegel,52.5758333333333,13.2961111111111,U6,#DA33FF,holzhauser str
113,Hoppegarten,S5,Dahlwitz-Hoppegarten,52.5183333333333,13.6733333333333,S5,#FFD700,hoppegarten
114,Humboldthain,"S1, S2, S25, S26",Gesundbrunnen,52.545,13.3794444444444,S Bahn Hub,#008080,humboldthain
115,Hönow,U5,Hellersdorf,52.5383333333333,13.6338888888889,U5,#FFD700,hoenow
116,Innsbrucker Platz,"U4, S41, S42, S46",Schöneberg,52.4786111111111,13.3438888888889,U and S Bahn Hub,#FFC300,innsbrucker platz
117,Jakob-Kaiser-Platz,U7,Charlottenburg-Nord,52.5366666666667,13.2933333333333,U7,#33B5FF,jakob kaiser platz
118,Jannowitzbrücke,"U8, S3, S5, S7, S9",Mitte,52.515,13.4180555555556,U and S Bahn Hub,#FFC300,jannowitzbruecke
119,Johannisthal,"S45, S46, S8, S85, S9",Niederschöneweide,52.4466666666667,13.5238888888889,S Bahn Hub,#008080,johannisthal
120,Johannisthaler Chaussee,U7,Gropiusstadt,52.4294444444444,13.4530555555556,U7,#33B5FF,johannisthaler chaussee
121,Julius-Leber-Brücke,S1,Schöneberg,52.486268888889,13.360211944444,S1,#FF33AD,julius leber bruecke
122,Jungfernheide,"U7, U7, S41, S42",Charlottenburg,52.5305555555556,13.3001388888889,U and S Bahn Hub,#FFC300,jungfernheide
123,Kaiserdamm,U2,Westend,52.51,13.2822222222222,U2,#8B4513,kaiserdamm
124,Kaiserin-Augusta-Straße,U6,Tempelhof,52.46,13.3847222222222,U6,#DA33FF,kaiserin augusta str
125,Karl-Bonhoeffer-Nervenklinik,"U8, S25",Wittenau,52.5783333333333,13.3313888888889,U and S Bahn Hub,#FFC300,karl bonhoeffer nervenklinik
126,Karl-Marx-Straße,U7,Neukölln,52.4761111111111,13.4391666666667,U7,#33B5FF,karl marx str
127,Karlshorst,S3,Karlshorst,52.4808333333333,13.5258333333333,S3,#0000ff,karlshorst
128,Karow,S2,Karow,52.615,13.4691666666667,S2,#00CC00,karow
129,Kaulsdorf,S5,Kaulsdorf,52.5122222222222,13.5902777777778,S5,#FFD700,kaulsdorf
130,Kaulsdorf-Nord,U5,Hellersdorf,52.5211111111111,13.5888888888889,U5,#FFD700,kaulsdorf nord
131,Kienberg,U5,Hellersdorf,52.5286111111111,13.5905555555556,U5,#FFD700,kienberg
132,Kleistpark,U7,Schöneberg,52.4905555555556,13.3602777777778,U7,#33B5FF,kleistpark
133,Klosterstraße,U2,Mitte,52.5161111111111,13.4122222222222,U2,#8B4513,klosterstr
134,Kochstraße,U6,Kreuzberg,52.5058333333333,13.3905555555556,U6,#DA33FF,kochstr
135,Konstanzer Straße,U7,Wilmersdorf,52.4936111111111,13.31,U7,#33B5FF,konstanzer str
136,Kottbusser Tor,"U1, U8",Kreuzberg,52.4991666666667,13.4180555555556,U Bahn Hub,#006400,kotti
137,Krumme Lanke,U3,Zehlendorf,52.4433333333333,13.2413888888889,U3,#33FF33,krumme lanke
138,Kurfürstendamm,"U1, U9",Charlottenburg,52.5041666666667,13.3330555555556,U Bahn Hub,#006400,kurfuerstendamm
139,Kurfürstenstraße,U1,Tiergarten,52.5,13.3619444444444,U1,#FFFF00,kurfuerstenstr
140,Kurt-Schumacher-Platz,U6,Reinickendorf,52.5633333333333,13.3275,U6,#DA33FF,kurt schumacher platz
141,Köllnische Heide,"S45, S46, S47",Neukölln,52.4694444444445,13.4675,S Bahn Hub,#008080,koellnische heide
142,Königs Wusterhausen,S46,KönigsWusterhausen,52.2966666666667,13.6311111111111,S46,#FFA500,koenigs wusterhausen
143,Köpenick,S3,Köpenick,52.4586111111111,13.5808333333333,S3,#0000ff,koepenick
144,Landsberger Allee,"S41, S42, S8, S85",PrenzlauerBerg,52.5294444444445,13.4547222222222,S Bahn Hub,#008080,landsberger allee
145,Lankwitz,S25,Lankwitz,52.438611111111,13.341666666667,S25,#00FF00,lankwitz
146,Lehnitz,S1,Lehnitz,52.7411111111111,13.2636111111111,S1,#FF33AD,lehnitz
147,Leinestraße,U8,Neukölln,52.4736111111111,13.4280555555556,U8,#00008B,leinestr
148,Leopoldplatz,"U6, U9",Wedding,52.5463888888889,13.3591666666667,U Bahn Hub,#006400,leopoldplatz
149,Lichtenberg,"U5, S5, S7, S75",Lichtenberg,52.5105555555556,13.4963888888889,U and S Bahn Hub,#FFC300,lichtenberg
150,Lichtenrade,S2,Lichtenrade,52.387146,13.396526,S2,#00CC00,lichtenrade
151,Lichterfelde Ost,"S25, S26",Lichterfelde,52.43,13.328888888889,S Bahn Hub,#008080,lichterfelde ost
152,Lichterfelde Süd,"S25, S26",Lichterfelde,52.41,13.308611111111,S Bahn Hub,#008080,lichterfelde sued
153,Lichterfelde West,S1,Lichterfelde,52.4433333333333,13.2947222222222,S1,#FF33AD,lichterfelde west
154,Lindauer Allee,U8,Reinickendorf,52.5752777777778,13.3391666666667,U8,#00008B,lindauer allee
155,Lipschitzallee,U7,Gropiusstadt,52.4247222222222,13.4627777777778,U7,#33B5FF,lipschitzallee
156,Louis-Lewin-Straße,U5,Hellersdorf,52.5388888888889,13.6183333333333,U5,#FFD700,louis lewin str
157,Magdalenenstraße,U5,Lichtenberg,52.5125,13.4863888888889,U5,#FFD700,magdalenenstr
158,Mahlow,S2,Blankenfelde-Mahl,52.360230555556,13.408480555556,S2,#00CC00,mahlow
159,Mahlsdorf,S5,Mahlsdorf,52.5119444444444,13.61,S5,#FFD700,mahlsdorf
160,Marienfelde,S2,Marienfelde,52.424166666667,13.374722222222,S2,#00CC00,marienfelde
161,Marzahn,S7,Marzahn,52.5436111111111,13.5411111111111,S7,#800080,marzahn
162,Mehringdamm,U6,Kreuzberg,52.4944444444445,13.3886111111111,U6,#DA33FF,mehringdamm
163,Mehrower Allee,S7,Marzahn,52.5575,13.5536111111111,S7,#800080,mehrower allee
164,Mendelssohn-Bartholdy-Park,U2,Kreuzberg,52.5038888888889,13.375,U2,#8B4513,mendelssohn bartholdy park
165,Messe Nord/ICC,"S41, S42, S46",Charlottenburg,52.5077777777778,13.2816666666667,S Bahn Hub,#008080,messe nord/icc
166,Messe Süd,"S3, S9",Westend,52.4986111111111,13.2702777777778,S Bahn Hub,#008080,messe sued
167,Mexikoplatz,S1,Zehlendorf,52.4375,13.2325,S1,#FF33AD,mexikoplatz
168,Mierendorffplatz,U7,Charlottenburg,52.5266666666667,13.305,U7,#33B5FF,mierendorffplatz
169,Mohrenstraße,U2,Mitte,52.5116666666667,13.3847222222222,U2,#8B4513,mohrenstr
170,Moritzplatz,U8,Kreuzberg,52.5036111111111,13.4108333333333,U8,#00008B,moritzplatz
171,Museumsinsel,U5,Mitte,52.5175,13.3983333333333,U5,#FFD700,museumsinsel
172,Märkisches Museum,U2,Mitte,52.5119444444444,13.4088888888889,U2,#8B4513,maerkisches museum
173,Möckernbrücke,"U1, U7",Kreuzberg,52.4991666666667,13.3830555555556,U Bahn Hub,#006400,moeckernbruecke
174,Mühlenbeck-Mönchmühle,S8,MühlenbeckerLand,52.6547222222222,13.3866666666667,S8,#6B4423,muehlenbeck moenchmuehle
175,Naturkundemuseum,U6,Mitte,52.5311111111111,13.3825,U6,#DA33FF,naturkundemuseum
176,Nauener Platz,U9,Wedding,52.5516666666667,13.3675,U9,#FF5733,nauener platz
177,Neu-Westend,U2,Westend,52.5155555555556,13.2611111111111,U2,#8B4513,neu westend
178,Neuenhagen,S5,NeuenhagenbeiBerlin,52.5208333333333,13.7002777777778,S5,#FFD700,neuenhagen
179,Neukölln,"U7, S41, S42, S45, S46, S47",Neukölln,52.4694444444445,13.4422222222222,U and S Bahn Hub,#FFC300,neukoelln
180,Nikolassee,"S1, S7",Nikolassee,52.4316666666667,13.1933333333333,S Bahn Hub,#008080,nikolassee
181,Nollendorfplatz,"U1, U1, U2",Schöneberg,52.4994444444444,13.3536111111111,U Bahn Hub,#006400,nollendorfplatz
182,Nordbahnhof,"S1, S2, S25, S26",Mitte,52.5319444444444,13.3877777777778,S Bahn Hub,#008080,nordbahnhof
183,Nöldnerplatz,"S5, S7, S75",Rummelsburg,52.5038888888889,13.4852777777778,S Bahn Hub,#008080,noeldnerplatz
184,Nürnberger Platz,U3,Wilmersdorf,52.4983333333333,13.3341666666667,U3,#33FF33,nuernberger platz
185,Oberspree,S47,Niederschöneweide,52.4525,13.5383333333333,S47,#CD853F,oberspree
186,Olympia-Stadion,U2,Westend,52.5172222222222,13.25,U2,#8B4513,olympia stadion
187,Olympiastadion,"S3, S9",Westend,52.5116666666667,13.2425,S Bahn Hub,#008080,olympiastadion
188,Onkel Toms Hütte,U3,Zehlendorf,52.4502777777778,13.2533333333333,U3,#33FF33,onkel toms huette
189,Oranienburg,S1,Oranienburg,52.7536111111111,13.2497222222222,S1,#FF33AD,oranienburg
190,Oranienburger Straße,"S1, S2, S25, S26",Mitte,52.525046,13.392924,S Bahn Hub,#008080,oranienburger str
191,Oranienburger Tor,U6,Mitte,52.525,13.3875,U6,#DA33FF,oranienburger tor
192,Osdorfer Straße,S25,Lichterfelde,52.41925,13.314555555556,S25,#00FF00,osdorfer str
193,Oskar-Helene-Heim,U3,Dahlem,52.4502777777778,13.2697222222222,U3,#33FF33,oskar helene heim
194,Osloer Straße,"U8, U9",Gesundbrunnen,52.5569444444444,13.3733333333333,U Bahn Hub,#006400,osloer str
195,Ostbahnhof,"S3, S5, S7, S75, S9",Friedrichshain,52.51,13.4347222222222,S Bahn Hub,#008080,ostbahnhof
196,Osthafen,U1,Friedrichshain,52.5022222222222,13.4463888888889,U1,#FFFF00,osthafen
197,Ostkreuz,"S3, S41, S42, S5, S7, S75, S8, S85",Friedrichshain,52.5030555555556,13.4688888888889,S Bahn Hub,#008080,ostkreuz
198,Otisstraße,U6,Reinickendorf,52.5711111111111,13.3027777777778,U6,#DA33FF,otisstr
199,Pankow,"U2, S2, S8, S85",Pankow,52.5666666666667,13.4111111111111,U and S Bahn Hub,#FFC300,pankow
200,Pankow-Heinersdorf,"S2, S8",Pankow,52.5783333333333,13.4297222222222,S Bahn Hub,#008080,pankow heinersdorf
201,Pankstraße,U8,Gesundbrunnen,52.5522222222222,13.3813888888889,U8,#00008B,pankstr
202,Paracelsus-Bad,U8,Reinickendorf,52.5741666666667,13.3491666666667,U8,#00008B,paracelsus bad
203,Paradestraße,U6,Tempelhof,52.4780555555556,13.3861111111111,U6,#DA33FF,paradestr
204,Parchimer Allee,U7,Britz,52.4447222222222,13.4497222222222,U7,#33B5FF,parchimer allee
205,Paulsternstraße,U7,Haselhorst,52.5380555555556,13.2477777777778,U7,#33B5FF,paulsternstr
206,Petershagen Nord,S5,PetershagenEggersdorf,52.5291666666667,13.7911111111111,S5,#FFD700,petershagen nord
207,Pichelsberg,"S3, S9",Westend,52.5102777777778,13.2272222222222,S Bahn Hub,#008080,pichelsberg
208,Platz der Luftbrücke,U6,Kreuzberg,52.4855555555556,13.3858333333333,U6,#DA33FF,platz der luftbruecke
209,Plänterwald,"S8, S85, S9",Plänterwald,52.4786111111111,13.4733333333333,S Bahn Hub,#008080,plaenterwald
210,Podbielskiallee,U3,Dahlem,52.4641666666667,13.2958333333333,U3,#33FF33,podbielskiallee
211,Poelchaustraße,S7,Marzahn,52.5355555555556,13.5355555555556,S7,#800080,poelchaustr
212,Potsdam Hauptbahnhof,S7,Potsdam,52.3916666666667,13.0666666666667,S7,#800080,potsdam hauptbahnhof
213,Potsdamer Platz,"U2, S1, S2, S25, S26",Mitte,52.5094444444445,13.3758333333333,U and S Bahn Hub,#FFC300,potsdamer platz
214,Prenzlauer Allee,"S41, S42, S8, S85",PrenzlauerBerg,52.5447222222222,13.4261111111111,S Bahn Hub,#008080,prenzlauer allee
215,Priesterweg,"S2, S25, S26",Schöneberg,52.4601,13.3563,S Bahn Hub,#008080,priesterweg
216,Prinzenstraße,U1,Kreuzberg,52.4983333333333,13.4058333333333,U1,#FFFF00,prinzenstr
217,Rahnsdorf,S3,Rahnsdorf,52.4516666666667,13.6897222222222,S3,#0000ff,rahnsdorf
218,Raoul-Wallenberg-Straße,S7,Marzahn,52.5508333333333,13.5475,S7,#800080,raoul wallenberg str
219,Rathaus Neukölln,U7,Neukölln,52.4819444444445,13.4330555555556,U7,#33B5FF,rathaus neukoelln
220,Rathaus Reinickendorf,U8,Wittenau,52.5883333333333,13.3258333333333,U8,#00008B,rathaus reinickendorf
221,Rathaus Schöneberg,U4,Schöneberg,52.4830555555556,13.3419444444444,U4,#FFD700,rathaus schoeneberg
222,Rathaus Spandau,U7,Spandau,52.5352777777778,13.1997222222222,U7,#33B5FF,rathaus spandau
223,Rathaus Steglitz,"U9, S1",Steglitz,52.4561111111111,13.3208333333333,U and S Bahn Hub,#FFC300,rathaus steglitz
224,Rehberge,U6,Wedding,52.5566666666667,13.3411111111111,U6,#DA33FF,rehberge
225,Reinickendorfer Straße,U6,Wedding,52.54,13.3702777777778,U6,#DA33FF,reinickendorfer str
226,Residenzstraße,U8,Reinickendorf,52.5711111111111,13.3605555555556,U8,#00008B,residenzstr
227,Richard-Wagner-Platz,U7,Charlottenburg,52.5158333333333,13.3075,U7,#33B5FF,richard wagner platz
228,Rohrdamm,U7,Siemensstadt,52.5372222222222,13.2625,U7,#33B5FF,rohrdamm
229,Rosa-Luxemburg-Platz,U2,Mitte,52.5283333333333,13.4102777777778,U2,#8B4513,rosa luxemburg platz
230,Rosenthaler Platz,U8,Mitte,52.53,13.4011111111111,U8,#00008B,rosenthaler platz
231,Rotes Rathaus,U5,Mitte,52.5186111111111,13.4083333333333,U5,#FFD700,rotes rathaus
232,Rudow,U7,Rudow,52.4161111111111,13.4952777777778,U7,#33B5FF,rudow
233,Ruhleben,U2,Westend,52.5255555555556,13.2413888888889,U2,#8B4513,ruhleben
234,Rummelsburg,S3,Rummelsburg,52.5011111111111,13.4788888888889,S3,#0000ff,rummelsburg
235,Röntgental,S2,Panketal,52.6486111111111,13.5133333333333,S2,#00CC00,roentgental
236,Rüdesheimer Platz,U3,Wilmersdorf,52.4733333333333,13.3144444444444,U3,#33FF33,ruedesheimer platz
237,Samariterstraße,U5,Friedrichshain,52.5147222222222,13.4644444444444,U5,#FFD700,samariterstr
238,Savignyplatz,"S3, S5, S7, S9",Charlottenburg,52.505277777778,13.318888888889,S Bahn Hub,#008080,savignyplatz
239,Scharnweberstraße,U6,Reinickendorf,52.5669444444444,13.3127777777778,U6,#DA33FF,scharnweberstr
240,Schichauweg,S2,Lichtenrade,52.398547,13.389372,S2,#00CC00,schichauweg
241,Schillingstraße,U5,Mitte,52.5202777777778,13.4216666666667,U5,#FFD700,schillingstr
242,Schlachtensee,S1,Nikolassee,52.44,13.2152777777778,S1,#FF33AD,schlachtensee
