,station name,lines,area,latitude,longitude,keys
299,Westkreuz,"S3, S41, S42, S46, S5, S7, S9",Charlottenburg,52.50111111111111,13.283888888888889,westkreuz
300,Westphalweg,U6,Mariendorf,52.44638888888888,13.385555555555555,westphalweg
301,Wildau,S46,Wildau,52.32,13.633888888888889,wildau
302,Wilhelmshagen,S3,Rahnsdorf,52.43861111111111,13.722222222222223,wilhelmshagen
303,Wilhelmsruh,"S1, S26",Reinickendorf,52.581388888888895,13.363055555555555,wilhelmsruh
304,Wilmersdorfer Straße,U7,Charlottenburg,52.50666666666667,13.306666666666667,wilmersdorfer str
305,Wittenau,"U8, S1, S26",Wittenau,52.59583333333334,13.336666666666668,wittenau
306,Wittenbergplatz,U1,Schöneberg,52.50194444444445,13.343055555555557,wittenbergplatz
307,Wollankstraße,"S1, S25, S26",Pankow,52.56527777777777,13.392222222222221,wollankstr
308,Wuhletal,"U5, S5",Kaulsdorf,52.5125,13.575,wuhletal
309,Wuhlheide,S3,Köpenick,52.46888888888889,13.553333333333335,wuhlheide
310,Wutzkyallee,U7,Gropiusstadt,52.42333333333333,13.474722222222223,wutzkyallee
311,Yorckstraße,"U7, S2, S25, S26, S1",Schöneberg,52.49250000000001,13.370277777777778,yorckstr
312,Zehlendorf,S1,Zehlendorf,52.43083333333333,13.258333333333333,zehlendorf
313,Zepernick,S2,Panketal,52.65972222222222,13.533888888888889,zepernick
314,Zeuthen,S46,Zeuthen,52.34861111111111,13.627500000000001,zeuthen
315,Zitadelle,U7,Haselhorst,52.53777777777778,13.217777777777778,zitadelle
316,Zoologischer Garten,"U2, U9, S3, S5, S7, S9",Charlottenburg,52.507222222222225,13.3325,zoo
317,Zwickauer Damm,U7,Gropiusstadt,52.42333333333333,13.483888888888888,zwickauer damm
