,station name,lines,area,latitude,longitude,keys
34,Blaschkoallee,U7,Britz,52.45166666666667,13.449722222222222,blaschkoallee
35,Blissestraße,U7,Wilmersdorf,52.486666666666665,13.321944444444444,blissestr
36,Boddinstraße,U8,Neukölln,52.47944444444445,13.425555555555555,boddinstr
37,Borgsdorf,S1,Borgsdorf,52.71555555555556,13.27638888888889,borgsdorf
38,Bornholmer Straße,"S1, S2, S25, S26, S8, S85",PrenzlauerBerg,52.55444444444444,13.398055555555555,bornholmer str
39,Borsigwerke,U6,Tegel,52.581944444444446,13.290833333333333,borsigwerke
40,Botanischer Garten,S1,Lichterfelde,52.448055555555555,13.307222222222222,botanischer garten
41,Brandenburger Tor,"U5, S1, S2, S25, S26",Mitte,52.51638888888889,13.380833333333333,brandenburger tor
42,Breitenbachplatz,U3,Dahlem,52.466944444444444,13.308611111111112,breitenbachplatz
43,Britz-Süd,U7,Britz,52.437777777777775,13.448333333333334,britz süd
44,Buch,S2,Buch,52.63583333333333,13.491666666666665,buch
45,Buckower Chaussee,S2,Marienfelde,52.41027777777778,13.382777777777779,buckower chaussee
46,Bundesplatz,"U9, S41, S42, S46",Wilmersdorf,52.47819444444444,13.328333333333333,bundesplatz
47,Bundestag,U5,Tiergarten,52.519999999999996,13.373055555555556,bundestag
48,Bülowstraße,U2,Schöneberg,52.4975,13.363333333333333,bülowstr
49,Charlottenburg,"S3, S5, S7, S9",Charlottenburg,52.50472222222222,13.303333333333335,charlottenburg
50,Cottbusser Platz,U5,Hellersdorf,52.53388888888889,13.596388888888889,cottbusser platz
51,Dahlem-Dorf,U3,Dahlem,52.4575,13.289722222222222,dahlem dorf
52,Deutsche Oper,U2,Charlottenburg,52.511944444444445,13.310555555555556,deutsche oper
53,Eberswalder Straße,U2,Prenzlauer Berg,52.541666666666664,13.412222222222223,eberswalder str
54,Eichborndamm,S25,Reinickendorf,52.5775,13.316944444444443,eichborndamm
55,Eichwalde,"S46, S8",Eichwalde,52.37138888888889,13.615277777777777,eichwalde
56,Eisenacher Straße,U7,Schöneberg,52.489444444444445,13.350277777777777,eisenacher str
57,Elsterwerdaer Platz,U5,Biesdorf,52.505,13.560555555555556,elsterwerdaer platz
58,Erkner,S3,Erkner,52.42972222222222,13.751388888888888,erkner
59,Ernst-Reuter-Platz,U2,Charlottenburg,52.511944444444445,13.322222222222223,ernst reuter platz
60,Fehrbelliner Platz,"U3, U7",Wilmersdorf,52.49027777777778,13.314166666666667,fehrbelliner platz
61,Feuerbachstraße,S1,Steglitz,52.46361111111111,13.3325,feuerbachstr
62,Flughafen BER – Terminal 1-2,"S45, S9",Schönefeld,52.36666666666667,13.503333333333334,flughafen ber – terminal 1 2
63,Flughafen BER – Terminal 5,"S45, S9",Schönefeld,52.39138888888889,13.512777777777778,flughafen ber – terminal 5
64,Frankfurter Allee,"U5, S41, S42, S8, S85",Friedrichshain,52.515,13.474444444444444,frankfurter allee
65,Frankfurter Tor,U5,Friedrichshain,52.51583333333333,13.454166666666666,frankfurter tor
66,Franz-Neumann-Platz,U8,Reinickendorf,52.56388888888888,13.364166666666666,franz neumann platz
67,Französische Straße,U6,Mitte,52.514722222222225,13.389166666666666,französische str
68,Fredersdorf,S5,Fredersdorf-Vogelsdorf,52.52638888888889,13.7625,fredersdorf
69,Freie Universität,U3,Dahlem,52.45111111111111,13.281944444444445,freie universität
70,Friedenau,S1,Schöneberg,52.47,13.340555555555556,friedenau
71,Friedrich-Wilhelm-Platz,U9,Friedenau,52.471944444444446,13.32861111111111,friedrich wilhelm platz
