,station,line,latitude,longitude
66,mahlow,S2,52.360230555556,13.408480555556
67,marienfelde,S2,52.424166666667,13.374722222222
68,röntgental,S2,52.64861111111111,13.513333333333334
69,schichauweg,S2,52.398547,13.389372
70,zepernick,S2,52.65972222222222,13.533888888888889
71,priesterweg,S2,52.4601,13.3563
72,priesterweg,S25,52.4601,13.3563
73,priesterweg,S26,52.4601,13.3563
74,südkreuz,S2,52.47555555555556,13.364444444444445
75,südkreuz,S25,52.47555555555556,13.364444444444445
76,südkreuz,S26,52.47555555555556,13.364444444444445
77,südkreuz,S41,52.47555555555556,13.364444444444445
78,südkreuz,S42,52.47555555555556,13.364444444444445
79,südkreuz,S45,52.47555555555556,13.364444444444445
80,südkreuz,S46,52.47555555555556,13.364444444444445
81,blankenburg,S2,52.59138888888889,13.443611111111112
82,blankenburg,S8,52.59138888888889,13.443611111111112
83,pankow heinersdorf,S2,52.57833333333333,13.42972222222222
84,pankow heinersdorf,S8,52.57833333333333,13.42972222222222
85,alt reinickendorf,S25,52.57777777777778,13.350555555555555
86,eichborndamm,S25,52.5775,13.316944444444443
87,heiligensee,S25,52.62472222222223,13.229166666666666
88,hennigsdorf,S25,52.63805555555555,13.205833333333333
89,lankwitz,S25,52.438611111111,13.341666666667
90,osdorfer str,S25,52.41925,13.314555555556
91,schulzendorf,S25,52.61277777777778,13.245833333333332
92,tegel,S25,52.58861111111111,13.289444444444444
93,teltow stadt,S25,52.396878,13.276392
94,lichterfelde ost,S25,52.43,13.328888888889
95,lichterfelde ost,S26,52.43,13.328888888889
96,lichterfelde süd,S25,52.41,13.308611111111
97,lichterfelde süd,S26,52.41,13.308611111111
98,südende,S25,52.448117,13.353646
99,südende,S26,52.448117,13.353646
100,betriebsbahnhof rummelsburg,S3,52.49388888888889,13.497777777777776
101,erkner,S3,52.42972222222222,13.751388888888888
102,friedrichshagen,S3,52.4575,13.623333333333331
103,hirschgarten,S3,52.45777777777778,13.603333333333332
104,karlshorst,S3,52.48083333333334,13.525833333333336
105,köpenick,S3,52.45861111111111,13.580833333333333
106,rahnsdorf,S3,52.45166666666667,13.689722222222224
107,rummelsburg,S3,52.50111111111111,13.47888888888889
108,wilhelmshagen,S3,52.43861111111111,13.722222222222223
109,wuhlheide,S3,52.46888888888889,13.553333333333336
110,westkreuz,S3,52.50111111111111,13.283888888888889
111,westkreuz,S41,52.50111111111111,13.283888888888889
112,westkreuz,S42,52.50111111111111,13.283888888888889
113,westkreuz,S46,52.50111111111111,13.283888888888889
114,westkreuz,S5,52.50111111111111,13.283888888888889
115,westkreuz,S7,52.50111111111111,13.283888888888889
116,westkreuz,S9,52.50111111111111,13.283888888888889
117,ostkreuz,S3,52.50305555555556,13.46888888888889
118,ostkreuz,S41,52.50305555555556,13.46888888888889
119,ostkreuz,S42,52.50305555555556,13.46888888888889
120,ostkreuz,S5,52.50305555555556,13.46888888888889
121,ostkreuz,S7,52.50305555555556,13.46888888888889
122,ostkreuz,S75,52.50305555555556,13.46888888888889
123,ostkreuz,S8,52.50305555555556,13.46888888888889
124,ostkreuz,S85,52.50305555555556,13.46888888888889
125,ostbahnhof,S3,52.51,13.434722222222222
126,ostbahnhof,S5,52.51,13.434722222222222
127,ostbahnhof,S7,52.51,13.434722222222222
128,ostbahnhof,S75,52.51,13.434722222222222
129,ostbahnhof,S9,52.51,13.434722222222222
130,bellevue,S3,52.52,13.34777777777778
131,bellevue,S5,52.52,13.34777777777778
132,bellevue,S7,52.52,13.34777777777778
133,bellevue,S9,52.52,13.34777777777778
134,charlottenburg,S3,52.50472222222222,13.303333333333336
135,charlottenburg,S5,52.50472222222222,13.303333333333336
136,charlottenburg,S7,52.50472222222222,13.303333333333336
137,charlottenburg,S9,52.50472222222222,13.303333333333336
138,hackescher markt,S3,52.5225,13.402222222222225
139,hackescher markt,S5,52.5225,13.402222222222225
140,hackescher markt,S7,52.5225,13.402222222222225
141,hackescher markt,S9,52.5225,13.402222222222225
142,savignyplatz,S3,52.505277777778,13.318888888889
143,savignyplatz,S5,52.505277777778,13.318888888889
144,savignyplatz,S7,52.505277777778,13.318888888889
145,savignyplatz,S9,52.505277777778,13.318888888889
146,tiergarten,S3,52.51444,13.33649
147,tiergarten,S5,52.51444,13.33649
148,tiergarten,S7,52.51444,13.33649
149,tiergarten,S9,52.51444,13.33649
150,heerstr,S3,52.50861111111111,13.258611111111112
151,heerstr,S9,52.50861111111111,13.258611111111112
152,messe süd,S3,52.49861111111111,13.270277777777778
153,messe süd,S9,52.49861111111111,13.270277777777778
154,olympiastadion,S3,52.51166666666666,13.2425
155,olympiastadion,S9,52.51166666666666,13.2425
156,pichelsberg,S3,52.51027777777778,13.227222222222222
157,pichelsberg,S9,52.51027777777778,13.227222222222222
