,station,line,latitude,longitude
108,flughafen ber – terminal 1 2,S9,52.36666666666667,13.503333333333334
109,flughafen ber – terminal 5,S45,52.39138888888889,13.512777777777778
110,flughafen ber – terminal 5,S9,52.39138888888889,13.512777777777778
111,frankfurter allee,U5,52.515,13.474444444444444
112,frankfurter allee,S41,52.515,13.474444444444444
113,frankfurter allee,S42,52.515,13.474444444444444
114,frankfurter allee,S8,52.515,13.474444444444444
115,frankfurter allee,S85,52.515,13.474444444444444
116,frankfurter tor,U5,52.51583333333333,13.454166666666666
117,franz neumann platz,U8,52.56388888888888,13.364166666666666
118,französische str,U6,52.51472222222223,13.389166666666666
119,fredersdorf,S5,52.52638888888889,13.7625
120,freie universität,U3,52.45111111111111,13.281944444444443
121,friedenau,S1,52.47,13.340555555555556
122,friedrich wilhelm platz,U9,52.471944444444446,13.32861111111111
123,friedrichsfelde,U5,52.50611111111111,13.512777777777778
124,friedrichsfelde ost,S5,52.51416666666667,13.519722222222224
125,friedrichsfelde ost,S7,52.51416666666667,13.519722222222224
126,friedrichsfelde ost,S75,52.51416666666667,13.519722222222224
127,friedrichshagen,S3,52.4575,13.623333333333331
128,friedrichstr,U6,52.52027777777778,13.386944444444444
129,friedrichstr,S1,52.52027777777778,13.386944444444444
130,friedrichstr,S2,52.52027777777778,13.386944444444444
131,friedrichstr,S25,52.52027777777778,13.386944444444444
132,friedrichstr,S26,52.52027777777778,13.386944444444444
133,friedrichstr,S3,52.52027777777778,13.386944444444444
134,friedrichstr,S5,52.52027777777778,13.386944444444444
135,friedrichstr,S7,52.52027777777778,13.386944444444444
136,friedrichstr,S9,52.52027777777778,13.386944444444444
137,frohnau,S1,52.6325,13.290277777777778
138,gehrenseestr,S75,52.556666666666665,13.524444444444445
139,gesundbrunnen,U8,52.54861111111111,13.38125
140,gesundbrunnen,S1,52.54861111111111,13.38125
141,gesundbrunnen,S2,52.54861111111111,13.38125
142,gesundbrunnen,S25,52.54861111111111,13.38125
143,gesundbrunnen,S26,52.54861111111111,13.38125
144,gesundbrunnen,S41,52.54861111111111,13.38125
145,gesundbrunnen,S42,52.54861111111111,13.38125
146,gleisdreieck,U1,52.498333333333335,13.37527777777778
147,gleisdreieck,U2,52.498333333333335,13.37527777777778
148,gneisenaustr,U7,52.49138888888889,13.39611111111111
149,greifswalder str,S41,52.54,13.440555555555555
150,greifswalder str,S42,52.54,13.440555555555555
151,greifswalder str,S8,52.54,13.440555555555555
152,greifswalder str,S85,52.54,13.440555555555555
153,grenzallee,U7,52.46333333333334,13.443888888888887
154,griebnitzsee,S7,52.394444444444446,13.127222222222224
155,grunewald,S7,52.48916666666667,13.261388888888888
156,grünau,S46,52.4125,13.573888888888888
157,grünau,S8,52.4125,13.573888888888888
158,grünau,S85,52.4125,13.573888888888888
159,grünbergallee,S45,52.399166666666666,13.541666666666666
160,grünbergallee,S9,52.399166666666666,13.541666666666666
161,görlitzer bahnhof,U1,52.49916666666667,13.428055555555554
162,güntzelstr,U9,52.49194444444444,13.330833333333333
163,hackescher markt,S3,52.5225,13.402222222222225
164,hackescher markt,S5,52.5225,13.402222222222225
165,hackescher markt,S7,52.5225,13.402222222222225
166,hackescher markt,S9,52.5225,13.402222222222225
167,halemweg,U7,52.53666666666666,13.286388888888888
168,halensee,S41,52.49611111111111,13.290555555555557
169,halensee,S42,52.49611111111111,13.290555555555557
170,halensee,S46,52.49611111111111,13.290555555555557
171,hallesches tor,U1,52.49777777777778,13.39111111111111
172,hallesches tor,U6,52.49777777777778,13.39111111111111
173,hansaplatz,U9,52.51777777777777,13.342222222222222
174,haselhorst,U7,52.53888888888888,13.23277777777778
175,hauptbahnhof,U5,52.525,13.369444444444444
176,hauptbahnhof,S3,52.525,13.369444444444444
177,hauptbahnhof,S5,52.525,13.369444444444444
178,hauptbahnhof,S7,52.525,13.369444444444444
179,hauptbahnhof,S9,52.525,13.369444444444444
180,hausvogteiplatz,U2,52.51305555555555,13.396666666666668
181,heerstr,S3,52.50861111111111,13.258611111111112
182,heerstr,S9,52.50861111111111,13.258611111111112
183,hegermühle,S5,52.54888888888889,13.866666666666667
184,heidelberger platz,U3,52.48,13.311944444444444
185,heidelberger platz,S41,52.48,13.311944444444444
186,heidelberger platz,S42,52.48,13.311944444444444
187,heidelberger platz,S46,52.48,13.311944444444444
188,heiligensee,S25,52.62472222222223,13.229166666666666
189,heinrich heine str,U8,52.51027777777778,13.415833333333332
190,hellersdorf,U5,52.53666666666666,13.606388888888889
191,hennigsdorf,S25,52.63805555555555,13.205833333333333
192,hermannplatz,U7,52.48722222222222,13.424722222222222
193,hermannplatz,U8,52.48722222222222,13.424722222222222
194,hermannstr,U8,52.4675,13.43125
195,hermannstr,S41,52.4675,13.43125
196,hermannstr,S42,52.4675,13.43125
197,hermannstr,S45,52.4675,13.43125
198,hermannstr,S46,52.4675,13.43125
199,hermannstr,S47,52.4675,13.43125
